snapshot_date,provider,slug,is_brand,focus,courses,top_terms
2026-07-07,Nest Academy GmbH,nest-academy-gmbh,0,0,90,Marketing; Social; Media; Social Media; Content; Manager; Seo; Media Marketing
2026-07-07,LVQ Weiterbildung und Beratung GmbH,lvq-weiterbildung-und-beratung-gmbh,0,0,80,Ki-Tool-Expert; Manager; Ki-; Online-Redakteur; Media; Marketing; Marketing Manager; Projekt-
2026-07-07,Berger Bildungsinstitut GmbH,berger-bildungsinstitut-gmbh,0,0,76,Marketing; Adobe; E-Commerce; Digital; Digital Marketing; Künstliche; Intelligenz; Künstliche Intelligenz
2026-07-07,NH Schulungscenter für IT und Business GmbH,nh-schulungscenter-f-r-it-und-business-gmbh,0,0,65,Künstliche; Intelligenz; Künstliche Intelligenz; Marketing; Chatgpt; Adobe; Bundle-; Bundle- Künstliche
2026-07-07,Syntax GmbH für Aus- und Weiterbildung,syntax-gmbh-f-r-aus-und-weiterbildung,0,0,62,Grundlagen; Zusatzqualifikation; Web; Designer; Web Designer; Moderne; Layouts; Moderne Layouts
2026-07-07,ifmera academy GmbH,ifmera-academy-gmbh,0,0,53,Marketing; Management; Social; Media; Social Media; Content; Office; Office Management
2026-07-07,formful education GmbH,formful-education-gmbh,0,0,53,Design; Engineering; Media; Webdesign; Prompt; Prompt Engineering; Conversational; No-Code
2026-07-07,IBB Institut für Berufliche Bildung AG,ibb-institut-f-r-berufliche-bildung-ag,0,0,50,Intelligenz; Marketing; Künstliche; Künstliche Intelligenz; Geprüfte; Adobe; Einführung; Einführung Künstliche
2026-07-07,HECKER CONSULTING,hecker-consulting,0,0,50,Marketing; Google; Analytics; Management; Seo; E-Commerce; Google Analytics; Marketing Management
2026-07-07,Bildungswerk der Hessischen Wirtschaft e. V.,bildungswerk-der-hessischen-wirtschaft-e-v,0,0,48,E-Commerce; Adobe; Marketing; Anwendungen; Vielseitige; Vielseitige Anwendungen; Wordpress; Masterclass
2026-07-07,Education partners GmbH,education-partners-gmbh,0,0,45,Manager; Social; Media; Social Media; Media Manager; Marketing; Inkl; Manager Inkl
2026-07-07,Itera Campus,itera-campus,0,0,44,Ki-Marketing; E-Mail-Personalisierung; E-Commerce; Marktforschung; Kampagnen; Planung; Kampagnen Planung; Gestalten
2026-07-07,Do IT Digital GmbH,do-it-digital-gmbh,0,0,43,E-Commerce; Marketing; Masterclass; Kommunikation; Künstliche; Intelligenz; Künstliche Intelligenz; Starter
2026-07-07,Code S Academy Ramona Sander,code-s-academy-ramona-sander,0,0,42,Künstliche; Intelligenz; Künstliche Intelligenz; Certified; Intelligenz Certified; Expert; Specialist; Strategist
2026-07-07,Bildungswerk der nordhessischen Wirtschaft gemeinnützige GmbH,bildungswerk-der-nordhessischen-wirtschaft-gemeinn-tzige-gmbh,0,0,41,E-Commerce; Adobe; Marketing; Anwendungen; Vielseitige; Vielseitige Anwendungen; Masterclass; Starter
2026-07-07,IntelliLearn Akademie GmbH,intellilearn-akademie-gmbh,0,0,41,Agile; Azure; Coach; Agile Coach; Projektmanagement; Engineer; Sql; Workflow
2026-07-07,TÜV Rheinland Akademie GmbH,t-v-rheinland-akademie-gmbh,0,0,35,Marketing; Künstliche; Intelligenz; Künstliche Intelligenz; Social-Media-Marketing; Geprüfte; Social; Media
2026-07-07,Donner + Partner GmbH Baden-Württemberg,donner-partner-gmbh-baden-w-rttemberg,0,0,34,E-Commerce; Marketing; Masterclass; Künstliche; Intelligenz; Künstliche Intelligenz; Starter; Social
2026-07-07,Berufliche Fortbildungszentren der Bayerischen Wirtschaft (bfz) gGmbH,berufliche-fortbildungszentren-der-bayerischen-wirtschaft-bfz-ggmbh,0,0,33,Marketing; Künstliche; Intelligenz; Künstliche Intelligenz; Einführung; Einführung Künstliche; Social-Media-Marketing; Grafik
2026-07-07,academy7,academy7,0,0,33,Inkl; Marketing; Storytelling; Inkl Storytelling; Grundlagen; Social; Media; Social Media
2026-07-07,ecomex GmbH & Co. KG,ecomex-gmbh-co-kg,1,0,31,Marketing; Manager; Social; Media; Social Media; Marketing Manager; Content; Advertising
2026-07-07,Fortbildungsakademie der Wirtschaft (FAW) gGmbH,fortbildungsakademie-der-wirtschaft-faw-ggmbh,0,0,31,Marketing; Künstliche; Intelligenz; Künstliche Intelligenz; Einführung; Einführung Künstliche; Masterclass; Starter
2026-07-07,MSIT Master School Institute of Technology,msit-master-school-institute-of-technology,0,0,31,Automation; Automatisierung; Ki-Produktivität; Automatisierung Ki-Produktivität; Security; Compliance; Checks; Grundlagen
2026-07-07,New Horizons Hamburg / Bremen,new-horizons-hamburg-bremen,0,0,29,Künstliche; Intelligenz; Künstliche Intelligenz; Chatgpt; Generative; Examen; Amp; Prompt
2026-07-07,New Horizons Nord / West,new-horizons-nord-west,0,0,29,Künstliche; Intelligenz; Künstliche Intelligenz; Chatgpt; Generative; Examen; Amp; Artificial
