week,snapshot_date,course_id,title,keyword,rank,total_results
2026-W23,2026-06-01,10387195929,E-Commerce Marketing Automation,E-Commerce,94,2423
2026-W23,2026-06-01,10387196413,E-Commerce mit Social Media,E-Commerce,105,2423
2026-W23,2026-06-01,10387195672,E-Commerce im Digital Marketing,E-Commerce,107,2423
2026-W23,2026-06-01,10389167772,E-Commerce Marketing Strategie,E-Commerce,113,2423
2026-W23,2026-06-01,10387776840,Weiterbildung im E-Commerce mit KI,E-Commerce,117,2423
2026-W23,2026-06-01,10391165747,Datengetriebenes E-Commerce Marketing mit KI,E-Commerce,179,2423
2026-W23,2026-06-01,10391168700,E-Commerce Performance Marketing mit KI,E-Commerce,194,2423
2026-W23,2026-06-01,10391164520,E-Commerce Performance im Online Marketing,E-Commerce,198,2423
2026-W23,2026-06-01,10338426422,E-Commerce Shops und Online Plattformen,E-Commerce,202,2423
2026-W23,2026-06-01,10391166676,Datengetriebenes Inbound Marketing im E-Commerce,E-Commerce,211,2423
2026-W23,2026-06-01,10387197205,Design Thinking und E-Commerce mit Social Media,E-Commerce,284,2423
2026-W23,2026-06-01,10387778727,Social Commerce im Online Marketing,E-Commerce,330,2423
2026-W23,2026-06-01,10389165953,Content & Sales im E-Commerce mit KI verbinden,E-Commerce,332,2423
2026-W23,2026-06-01,10391168356,E-Commerce & Social Media Marketing mit KI,E-Commerce,337,2423
2026-W23,2026-06-01,10389166959,Content & Inbound Marketing mit KI für E-Commerce,E-Commerce,402,2423
2026-W23,2026-06-01,10338427523,E-Commerce Manager,E-Commerce Manager,4,714
2026-W23,2026-06-01,10338429561,eCommerce Manager,E-Commerce Manager,31,714
2026-W23,2026-06-01,10391166704,Datengetriebenes Marketing als KI Manager,E-Commerce Manager,83,714
2026-W23,2026-06-01,10387783077,Online Marketing Manager für Fortgeschrittene,E-Commerce Manager,97,714
2026-W23,2026-06-01,10387780996,Webanalyse für Online Marketing Manager:in,E-Commerce Manager,103,714
2026-W23,2026-06-01,10338432056,E-Commerce Grundlagen,E-Commerce Manager,120,714
2026-W23,2026-06-01,10391169681,"KI Manager Weiterbildung: Social Media, Content & KI Tools",E-Commerce Manager,133,714
2026-W23,2026-06-01,10338426422,E-Commerce Shops und Online Plattformen,E-Commerce Manager,162,714
2026-W23,2026-06-01,10389167334,Wordpress Grundlagen,E-Commerce Manager,260,714
2026-W23,2026-06-01,10389167084,Wordpress für Einsteiger,E-Commerce Manager,266,714
2026-W23,2026-06-01,10391167677,Wordpress Online Lernen,E-Commerce Manager,271,714
2026-W23,2026-06-01,10338911508,Content Marketing Manager,E-Commerce Manager,287,714
2026-W23,2026-06-01,10342368910,Online Marketing Manager Weiterbildung,E-Commerce Manager,336,714
2026-W23,2026-06-01,10340407675,Social Media Manager,E-Commerce Manager,337,714
2026-W23,2026-06-01,10343394728,Online Marketing Manager,E-Commerce Manager,339,714
2026-W23,2026-06-01,10354069877,Digital Marketing Manager,E-Commerce Manager,340,714
2026-W23,2026-06-01,10338424756,Performance Marketing Manager,E-Commerce Manager,344,714
2026-W23,2026-06-01,10338910725,Online Marketing Grundlagen für Marketing Manager:in,E-Commerce Manager,394,714
2026-W23,2026-06-01,10338433155,KI-Manager:in,E-Commerce Manager,425,714
2026-W23,2026-06-01,10356999107,Analyse und Optimierung im Online Marketing,E-Commerce Manager,455,714
2026-W23,2026-06-01,10338895266,Social Media Advertising,E-Commerce Manager,474,714
2026-W23,2026-06-01,10338911508,Content Marketing Manager,Marketing Manager,17,3851
2026-W23,2026-06-01,10343394728,Online Marketing Manager,Marketing Manager,31,3851
2026-W23,2026-06-01,10354069877,Digital Marketing Manager,Marketing Manager,43,3851
2026-W23,2026-06-01,10338424756,Performance Marketing Manager,Marketing Manager,46,3851
2026-W23,2026-06-01,10342368910,Online Marketing Manager Weiterbildung,Marketing Manager,124,3851
2026-W23,2026-06-01,10340407675,Social Media Manager,Marketing Manager,131,3851
2026-W23,2026-06-01,10338429561,eCommerce Manager,Marketing Manager,136,3851
2026-W23,2026-06-01,10391166704,Datengetriebenes Marketing als KI Manager,Marketing Manager,164,3851
2026-W23,2026-06-01,10387783077,Online Marketing Manager für Fortgeschrittene,Marketing Manager,218,3851
2026-W23,2026-06-01,10338910725,Online Marketing Grundlagen für Marketing Manager:in,Marketing Manager,228,3851
2026-W23,2026-06-01,10387780996,Webanalyse für Online Marketing Manager:in,Marketing Manager,241,3851
2026-W23,2026-06-01,10338427523,E-Commerce Manager,Marketing Manager,262,3851
2026-W23,2026-06-01,10387195929,E-Commerce Marketing Automation,Marketing Automation,29,487
2026-W23,2026-06-01,10338431711,Inbound Marketing Experte,Marketing Automation,83,487
2026-W23,2026-06-01,10338428159,Performance Marketing Experte,Marketing Automation,87,487
2026-W23,2026-06-01,10384707573,SEO und Inbound Marketing,Marketing Automation,90,487
2026-W23,2026-06-01,10351717213,Online Marketing - CRM und Marketing-Automatisierung,Marketing Automation,100,487
2026-W23,2026-06-01,10343394728,Online Marketing Manager,Marketing Automation,102,487
2026-W23,2026-06-01,10356998969,Online Marketing Strategie,Marketing Automation,104,487
2026-W23,2026-06-01,10338424756,Performance Marketing Manager,Marketing Automation,107,487
2026-W23,2026-06-01,10377229437,Global Digital Strategy & Online Marketing Management,Marketing Automation,108,487
2026-W23,2026-06-01,10387782115,Inbound Marketing Weiterbildung,Marketing Automation,109,487
2026-W23,2026-06-01,10342367601,Content Marketing,Marketing Automation,113,487
2026-W23,2026-06-01,10377228677,Certified International Online Marketing Specialist,Marketing Automation,133,487
2026-W23,2026-06-01,10342368910,Online Marketing Manager Weiterbildung,Marketing Automation,141,487
2026-W23,2026-06-01,10391167711,Digital Marketing Starter Kurs,Marketing Automation,162,487
2026-W23,2026-06-01,10338910725,Online Marketing Grundlagen für Marketing Manager:in,Marketing Automation,171,487
2026-W23,2026-06-01,10338427523,E-Commerce Manager,Marketing Automation,182,487
2026-W23,2026-06-01,10338430808,Performance Marketing Masterclass,Marketing Automation,186,487
2026-W23,2026-06-01,10387776840,Weiterbildung im E-Commerce mit KI,Marketing Automation,195,487
2026-W23,2026-06-01,10391167977,Digitale Marketingstrategien mit KI entwickeln,Marketing Automation,206,487
2026-W23,2026-06-01,10351524968,Online Marketing mit Google Ads,Google Ads,79,1106
2026-W23,2026-06-01,10389165702,Google Ads mit Social Media,Google Ads,98,1106
2026-W23,2026-06-01,10391168965,Google Ads & Performance Marketing Grundlagen,Google Ads,111,1106
2026-W23,2026-06-01,10391166962,"Der einfache Einstieg in SEO, Ads & KI im Online Marketing",Google Ads,177,1106
2026-W23,2026-06-01,10391167386,"KI im Performance Marketing: Ads, Targeting & Optimierung",Google Ads,202,1106
