snapshot_date,keyword,provider,count_top_n,share_pct,best_rank,is_brand,total_results
2026-08-09,Digital Marketing Analyst,Mentify Learn GmbH,2,10.0,15,0,239
2026-08-09,Digital Marketing Analyst,Ironhack Germany GmbH,1,5.0,1,0,239
2026-08-09,Digital Marketing Analyst,OneCareer,1,5.0,3,0,239
2026-08-09,Digital Marketing Analyst,StackFuel GmbH,1,5.0,6,0,239
2026-08-09,Digital Marketing Kurs,OneCareer,5,25.0,5,0,4048
2026-08-09,Digital Marketing Kurs,Distart Education GmbH,4,20.0,17,0,4048
2026-08-09,Digital Marketing Kurs,alfatraining Bildungszentrum GmbH,2,10.0,6,0,4048
2026-08-09,Digital Marketing Kurs,Academy NH Süd,1,5.0,1,0,4048
2026-08-09,Digital Marketing Kurs,New Horizons München - IT Computer und BusinessTraining Trainings,1,5.0,2,0,4048
2026-08-09,Digital Marketing Kurs,Learnix GmbH,1,5.0,3,0,4048
2026-08-09,Digital Marketing Kurs,ecomex GmbH & Co. KG,1,5.0,4,1,4048
2026-08-09,Digital Marketing Kurs,Berger Bildungsinstitut GmbH,1,5.0,7,0,4048
2026-08-09,Digital Marketing Kurs,GFN GmbH,1,5.0,8,0,4048
2026-08-09,Digital Marketing Kurs,WBS TRAINING SE,1,5.0,10,0,4048
2026-08-09,Digital Marketing Kurs,Learning Digital Academy GmbH,1,5.0,12,0,4048
2026-08-09,Digital Marketing Kurs,Talentspring Academy Group,1,5.0,14,0,4048
2026-08-09,Digital Marketing Manager,OneCareer,4,20.0,3,0,1880
2026-08-09,Digital Marketing Manager,Digethic Business School,2,10.0,1,0,1880
2026-08-09,Digital Marketing Manager,Berger Bildungsinstitut GmbH,2,10.0,4,0,1880
2026-08-09,Digital Marketing Manager,alfatraining Bildungszentrum GmbH,2,10.0,7,0,1880
2026-08-09,Digital Marketing Manager,Masters of Digital GmbH,2,10.0,10,0,1880
2026-08-09,Digital Marketing Manager,Talentivo GmbH,1,5.0,2,0,1880
2026-08-09,Digital Marketing Manager,GFN GmbH,1,5.0,5,0,1880
2026-08-09,Digital Marketing Manager,Deutsche Tech Akademie,1,5.0,9,0,1880
2026-08-09,Digital Marketing Manager,Bildung Next Level GmbH,1,5.0,12,0,1880
2026-08-09,Digital Marketing Manager,Learning Digital Academy GmbH,1,5.0,13,0,1880
2026-08-09,Digital Marketing Manager,Karriere Tutor GmbH,1,5.0,16,0,1880
2026-08-09,Digital Marketing Manager,Studieninstitut für Kommunikation GmbH,1,5.0,17,0,1880
2026-08-09,Digital Marketing Manager,Talentspring Academy Group,1,5.0,19,0,1880
2026-08-09,Digitale Werbung,OneCareer,6,30.0,2,0,1662
2026-08-09,Digitale Werbung,Masters of Digital GmbH,3,15.0,1,0,1662
2026-08-09,Digitale Werbung,WBS TRAINING SE,3,15.0,17,0,1662
2026-08-09,Digitale Werbung,Karriere Tutor GmbH,2,10.0,7,0,1662
2026-08-09,Digitale Werbung,GFN GmbH,1,5.0,3,0,1662
2026-08-09,Digitale Werbung,Wildner Akademie für Digitale Wirtschaft & Management,1,5.0,6,0,1662
2026-08-09,Digitale Werbung,Business Trends Academy,1,5.0,9,0,1662
2026-08-09,Digitale Werbung,Learnix GmbH,1,5.0,13,0,1662
2026-08-09,Digitale Werbung,alfatraining Bildungszentrum GmbH,1,5.0,16,0,1662
2026-08-09,Digitale Werbung,Mentify Learn GmbH,1,5.0,20,0,1662
2026-08-09,Direktmarketing,GrandEdu GmbH,8,40.0,5,0,65
2026-08-09,Direktmarketing,Akademie Überlingen,2,10.0,18,0,65
2026-08-09,Direktmarketing,ifmera academy GmbH,1,5.0,1,0,65
2026-08-09,Direktmarketing,DAA - Deutsche Angestellten- Akademie gGmbH,1,5.0,2,0,65
2026-08-09,Direktmarketing,Education partners GmbH,1,5.0,3,0,65
2026-08-09,Direktmarketing,OneCareer,1,5.0,4,0,65
2026-08-09,Direktmarketing,DCI Digital Career Institute GmbH,1,5.0,10,0,65
2026-08-09,Direktmarketing,ecomex GmbH & Co. KG,1,5.0,11,1,65
2026-08-09,Direktmarketing,Masters of Digital GmbH,1,5.0,13,0,65
2026-08-09,Direktmarketing,MARTINSFELD GmbH & Co. KG,1,5.0,15,0,65
2026-08-09,Direktmarketing,Learnix GmbH,1,5.0,17,0,65
2026-08-09,Direktmarketing,IBB Institut für Berufliche Bildung AG,1,5.0,20,0,65
2026-08-09,E-Commerce,OneCareer,4,20.0,2,0,2298
2026-08-09,E-Commerce,Learning Digital Academy GmbH,3,15.0,9,0,2298
2026-08-09,E-Commerce,Talentspring Academy Group,2,10.0,4,0,2298
2026-08-09,E-Commerce,Karriere Tutor GmbH,2,10.0,6,0,2298
2026-08-09,E-Commerce,Mentify Learn GmbH,1,5.0,1,0,2298
2026-08-09,E-Commerce,alfatraining Bildungszentrum GmbH,1,5.0,3,0,2298
2026-08-09,E-Commerce,Masters of Digital GmbH,1,5.0,5,0,2298
2026-08-09,E-Commerce,GFN GmbH,1,5.0,7,0,2298
2026-08-09,E-Commerce,"Berufsbildungsakademie ""Altmark"" GmbH",1,5.0,8,0,2298
2026-08-09,E-Commerce,Akademie Überlingen,1,5.0,12,0,2298
2026-08-09,E-Commerce,WBS TRAINING SE,1,5.0,16,0,2298
2026-08-09,E-Commerce,IU Akademie IU Internationale Hochschule,1,5.0,18,0,2298
2026-08-09,E-Commerce,velpTEC GmbH,1,5.0,20,0,2298
2026-08-09,E-Commerce Manager,Karriere Tutor GmbH,6,30.0,2,0,738
2026-08-09,E-Commerce Manager,OneCareer,3,15.0,4,0,738
